feature,importance
temperature,0.006034993172543021
dew_point,0.01627071623418732
pressure,0.005957834686990307
rain,0.0009348052517796856
wind_speed,0.010623129124827822
temp_pres_interaction,0.00789119850958602
dew_point_spread,0.022858235345802648
rain_binary,0.000684770617354732
relative_humidity,0.024698510231552756
hour_sin,0.005451817700570776
hour_cos,0.00348779764394352
month_sin,0.002691063431193155
month_cos,0.005940715657545917
season,0.002691092321596813
day_of_week,0.002571089054430061
month,0.003532752050275822
year,0.0015649997948688787
pm25_lag_1h,0.3927148848130735
pm25_lag_3h,0.25155801900204994
pm25_lag_6h,0.11659281155763891
pm25_lag_12h,0.07761382451337773
pm25_lag_18h,0.026740552388259505
pm25_roll_3h_mean,0.002631033285894969
pm25_roll_6h_mean,0.002695628958713625
pm25_roll_12h_mean,0.002724805860210136
pm25_roll_18h_mean,0.0028429187917322902
